ds,yhat,yhat_lower,yhat_upper
2022-02-08,317562.83423705684,249788.70640942233,383886.5554310029
2022-02-09,312133.72479074076,244602.30186396383,375669.07072546106
2022-02-10,315993.1613490904,245964.3458652398,382469.924680638
2022-02-11,310569.4377537968,242985.8043679881,379190.05905079126
2022-02-12,306433.17444553005,236359.52968521824,373593.93979672546
2022-02-13,311217.5354043525,245135.21120131796,381734.9901160405
2022-02-14,321144.70716174075,250538.697130244,384979.80787289195
2022-02-15,314356.7728424472,252347.87335020784,380760.47407072585
2022-02-16,307649.95916944765,236942.11449573614,375277.43738602515
2022-02-17,310315.7173566357,237353.71712915192,376152.61949986615
2022-02-18,303820.82577981404,238515.91300330806,371715.51351097756
2022-02-19,298771.47168492695,227752.887275397,360272.2182892725
2022-02-20,302832.38987657084,239195.78315396514,371499.0387147137
2022-02-21,312252.3691058206,247665.84612688044,380366.22171388677
2022-02-22,305194.28819861036,237688.42747308296,374088.3374050742
2022-02-23,298468.68521836057,234110.64602677463,363568.4316419691
2022-02-24,301374.3413334902,232833.74284574852,369983.53879441245
2022-02-25,295378.0830211573,228163.53936962096,368929.67516841774
2022-02-26,291078.76989445306,225695.8779260414,358541.24458279065
2022-02-27,296126.5502401713,226259.0025587456,361570.4830037184
2022-02-28,306748.6930578851,231880.4027640047,374344.8832966095
2022-03-01,301080.1506886466,229944.71860719196,365418.876010666
2022-03-02,295897.8415164889,229236.33500295805,360444.6421303015
2022-03-03,300462.115259091,229533.67458327964,372086.49965192965
2022-03-04,296197.58029245504,229939.68658701982,365201.9936553345
2022-03-05,293658.2319864971,223064.43679629653,365513.2413083823
2022-03-06,300447.93237274844,237309.55565843917,369061.41413370275
2022-03-07,312747.5156623587,249275.82211065933,383997.9865753655
2022-03-08,308646.6378963718,239566.31624656354,375390.0153548466
2022-03-09,304879.3238945593,239106.36428376473,370677.8902874313
2022-03-10,310666.6382323132,244956.1745246412,371977.18995119847
2022-03-11,307398.62545913184,240542.04236745817,374279.57233744505
2022-03-12,305600.42684217606,236606.15837477404,374042.7300069282
2022-03-13,312853.59570976807,250019.73972568742,378878.1911597154
2022-03-14,325323.86192645587,261892.4833429637,388794.8505662801
2022-03-15,321093.4447425009,254699.36484218083,387643.24542426487
2022-03-16,316896.8536409772,250613.93711374223,383103.51443068776
2022-03-17,321963.5962544924,258207.24638196547,390190.9192555194
2022-03-18,317699.9370140258,249875.97038978443,382473.656572342
2022-03-19,314654.6184110612,246478.52434976492,385113.916652647
2022-03-20,320439.5775886812,251453.45842525328,391627.46718651586
2022-03-21,331256.92510061886,261901.46498845852,398172.49567156384
2022-03-22,325230.30671146075,258081.9887590835,393916.14974893426
2022-03-23,319139.61407527013,246578.63937916813,382594.85335493693
2022-03-24,322262.4934886774,254080.60892842646,391619.96478018217
2022-03-25,316054.82953131356,254441.98994351632,389435.2010040003
